Query,Iteraci�,tiempoSD ,tiempoCD ,energySD ,energyCD
1,2,28.212,18.05,24.7744,17.054
1,3,28.1,16.755,23.8491,15.239
1,4,29.289,15.605,24.7466,13.244
1,5,27.385,17.678,23.0229,15.3716
1,6,26.523,16.675,23.1082,14.6028
1,7,27.556,16.866,23.6671,13.7526
1,8,27.613,17.822,23.3366,15.5789
1,9,26.417,15.345,21.8044,12.689
1,10,26.565,16.507,22.8536,13.4364
2,2,2.392,0.805,3.80937,1.7088
2,3,2.433,0.733,3.13325,0.81829
2,4,2.32,0.686,2.69249,0.69568
2,5,2.166,0.662,1.9002,0.67237
2,6,2.161,0.673,1.93057,0.73101
2,7,2.15,0.683,1.96066,0.69944
2,8,2.163,0.695,1.9019,0.6783
2,9,2.244,0.707,2.0074,0.8685
2,10,2.901,0.962,5.78058,1.85847
3,1,134.655,76.792,115.823,59.349
3,2,112.776,76.205,83.159,56.339
3,3,113.878,76.871,85.109,56.403
3,4,114.92,75.809,82.643,55.611
3,5,113.519,75.358,85.408,55.561
3,6,104.835,74.11,82.73,56.371
3,7,101.827,69.272,83.736,57.983
3,8,110.365,69.697,80.793,58.333
3,9,109.981,72.327,80.055,62.653
3,10,111.549,73.587,80.647,60.913
4,2,1.694,0.121,1.8032,0.7213
4,3,2.051,0.111,3.101,0.8942
4,4,1.63,0.13,1.387,0.6591
4,5,1.903,0.117,1.9339,0.6701
4,6,2.069,0.129,2.179,0.1806
4,7,1.552,0.117,1.3881,0.2203
4,8,1.516,0.121,1.3779,0.1273
4,9,1.52,0.13,1.5062,0.123
4,10,2.157,0.207,3.2646,1.0054
5,1,15.326,15.568,16.9477,15.7956
5,2,13.857,14.351,11.756,12.4707
5,3,13.493,14.359,11.1361,12.3705
5,4,13.416,13.373,11.4756,11.1228
5,5,13.491,13.466,11.0847,10.9291
5,6,13.395,13.708,10.9002,10.8484
5,7,13.558,15.413,10.9159,13.2653
5,8,13.485,14.431,10.7227,12.4088
5,9,15.24,13.484,13.028,10.747
5,10,14.278,15.456,14.1053,14.7038
6,2,2.688,0.439,3.8639,0.9106
6,3,2.12,0.343,2.3179,0.3755
6,4,2.16,0.342,1.8175,0.3608
6,5,1.823,0.367,1.4404,0.3438
6,6,1.807,0.389,1.5527,0.3461
6,7,1.866,0.344,1.8784,0.3975
6,8,2.096,0.344,1.9413,0.3908
6,9,2.145,0.338,2.1221,0.3545
6,10,2.218,0.502,3.3718,1.1341
7,1,3600,118.941,"3,157.77",181.763
7,2,3600,98.343,"3,157.77",150.871
7,3,3600,98.94,"3,157.77",174.149
7,4,3600,90.399,"3,157.77",137.145
7,5,3600,90.319,"3,157.77",139.264
7,6,3600,87.911,"3,157.77",128.797
7,7,3600,88.933,"3,157.77",143.672
7,8,3600,98.059,"3,157.77",149.294
7,9,3600,92.039,"3,157.77",142.38
7,10,3600,90.629,"3,157.77",142.982
8,1,4.389,0.806,11.918,1.088
8,2,2.859,0.866,3.186,1.483
8,3,2.524,0.766,2.46,0.975
8,4,2.724,0.748,2.971,0.83
8,5,2.572,0.756,3.3,0.762
8,6,2.518,0.746,2.318,0.772
8,7,2.568,0.823,2.382,1.783
8,8,2.546,0.74,2.398,0.666
8,9,2.492,0.993,2.249,2.074
8,10,2.756,0.746,3.948,1.126
9,1,19.948,15.218,22.028,17.451
9,2,19.746,14.534,18.391,13.553
9,3,18.906,15.276,17.348,14.595
9,4,19.225,12.236,18.987,10.279
9,5,18.311,17.483,16.255,19.186
9,6,18.858,12.373,18.169,10.763
9,7,17.303,12.732,16.776,12.041
9,8,17.263,12.824,17.251,10.152
9,9,18.644,13.464,19.131,14.291
9,10,18.857,14.032,19.553,16.277
10,1,3600,3600,3234.78,3238.68
10,2,3600,3600,3234.78,3238.68
10,3,3600,3600,3234.78,3238.68
10,4,3600,3600,3234.78,3238.68
10,5,3600,3600,3234.78,3238.68
10,6,3600,3600,3234.78,3238.68
10,7,3600,3600,3234.78,3238.68
10,8,3600,3600,3234.78,3238.68
10,9,3600,3600,3234.78,3238.68
10,10,3600,3600,3234.78,3238.68
11,1,24.852,21.24,19.198,19.001
11,2,7.754,7.007,6.399,6.035
11,3,7.523,7.006,6.426,6.33
11,4,9.017,6.899,8.6516,6.0417
11,5,7.971,6.851,6.6725,6.2298
11,6,7.444,6.784,6.29843,5.97449
11,7,8.043,6.737,7.39,5.83607
11,8,7.636,6.887,6.1122,6.0141
11,9,7.861,7.035,9.56464,6.1043
11,10,7.82,7.118,6.7638,6.4509
12,1,46.514,4.87,51.6316,5.1367
12,2,35.235,1.279,47.278,2.2776
12,3,34.616,1.611,47.3816,2.4372
12,4,32.802,1.588,31.9911,2.0452
12,5,33.623,1.537,39.2373,1.55
12,6,36.129,1.247,49.1101,1.31
12,7,35.576,1.339,50.1496,1.2249
12,8,36.084,1.303,47.6349,1.1771
12,9,35.735,1.323,46.5915,1.6731
12,10,35.584,1.366,49.302,2.472
13,2,1.245,nan,2.30146,nan
13,3,1.097,nan,1.80837,nan
13,4,1.066,nan,1.21285,nan
13,5,1.233,nan,1.09634,nan
13,6,1.123,nan,1.08646,nan
13,7,1.295,nan,1.19434,nan
13,8,1.526,nan,2.89071,nan
13,9,1.374,nan,1.69272,nan
14,1,10.972,8.231,15.3574,10.4516
14,2,9.554,7.582,10.0215,8.9383
14,3,7.665,7.344,7.72,8.0268
14,4,7.618,7.614,7.3072,6.7552
14,5,7.585,7.465,8.2246,6.6684
14,6,9.116,7.845,9.4376,6.2926
14,7,8.386,7.549,7.2468,6.8544
14,8,7.491,7.048,6.7423,5.7444
14,9,7.264,7.58,5.8901,6.9086
14,10,8.23,6.862,10.0968,8.8064
15,2,1.707,0.135,2.42,0.52
15,3,1.825,0.151,2.18391,0.5565
15,4,1.788,0.161,1.85762,0.5603
15,5,1.747,0.114,1.57043,0.380536
15,6,1.546,0.123,1.36585,0.33901
15,7,1.718,0.123,1.46736,0.16179
15,8,1.728,0.137,1.50167,0.155925
15,9,1.678,0.117,1.3281,0.16304
15,10,2.083,0.228,2.35741,0.495983
16,1,38.033,43.2006,29.981,29.1157
16,2,30.828,29.3212,27.706,24.293
16,3,31.813,25.8255,27.584,23.664
16,4,32.831,29.0069,29.855,25.6933
16,5,31.86,31.1909,28.548,24.0265
16,6,29.122,26.8913,28.033,24.6644
16,7,31.984,32.4597,29.465,31.532
16,8,31.872,26.0403,33.846,36.8158
16,9,31.814,28.3334,30.989,28.423
16,10,33.269,30.1433,30.91,34.908
17,2,10.736,0.706,11.299,1.123
17,3,9.439,0.767,9.844,0.755
17,4,9.742,1.01,10.008,1.068
17,5,9.83,0.778,8.587,1.026
17,6,8.863,0.785,7.911,0.701
17,7,9.245,1.048,8.065,1.976
17,8,9.107,0.756,7.791,0.978
17,9,8.525,0.791,7.345,1.094
17,10,9.462,0.841,11.262,0.999
18,1,10.36,7.814,14.5424,12.3239
18,2,10.78,6.464,10.537,6.124
18,3,11.24,6.49,11.2421,6.3111
18,4,10.275,6.474,9.112,5.349
18,5,10.978,6.883,9.9008,6.3136
18,6,10.987,6.459,10.7471,6.0519
18,7,10.821,6.529,9.773,5.8692
18,8,10.223,6.38,9.363,5.1946
18,9,10.839,7.344,9.5075,8.1151
18,10,10.732,6.754,11.2176,6.01764
19,1,397.911,285.843,377.457,255.847
19,2,356.944,272.571,323.718,216.497
19,3,371.11,287.871,334.151,249.704
19,4,376.503,284.535,341.097,242.049
19,5,370.378,275.018,331.348,239.579
19,6,363.661,281.309,329.376,245.271
19,7,378.96,279.752,343.814,229.487
19,8,334.097,284.253,287.047,251.458
19,9,340.643,273.068,311.193,224.453
19,10,357.939,284.355,326.293,246.421
20,1,20.29,9.413,24.774,29.461
20,2,19.965,8.773,51.829,24.28
20,3,19.681,8.684,37.494,32.405
20,4,19.615,8.511,34.294,22.426
20,5,18.929,8.156,25,22.663
20,6,19.074,8.055,27.703,21.413
20,7,20.807,8.243,30.175,26.148
20,8,19.212,8.717,24.667,24.575
20,9,18.972,7.723,22.454,18.671
20,10,19.725,8.099,26.814,16.155
21,1,4.271,0.513,10.965,2.274
21,2,3.802,0.424,5.776,1.039
21,3,3.769,0.418,3.817,0.969
21,4,3.321,0.535,4.39,0.875
21,5,3.149,0.437,3.453,0.732
21,6,3.728,0.415,4.012,0.69
21,7,3.631,0.435,4.092,0.703
21,8,3.417,0.377,3.566,0.603
21,9,3.242,0.609,3.449,1.699
21,10,3.484,0.444,3.675,0.806
22,1,3600,105.697,"3,378.77",341.155
22,2,3600,99.071,"3,378.77",236.518
